Faculty,Document_Count,Total_Size_MB
"החוג לגנטיקה מולקולרית של האדם וביוכימיה,",6,33.61
"החוג ללימודי מזרח אסיה,",12,32.0
החוג לתקשורת,12,31.3
ha-hug leepidemyologya urfua monaat,4,30.66
"Department of Nursing,",5,28.94
החוג לקולנוע וטלוויזיה,11,28.4
בית הספר למדעי כדור הארץ,8,27.49
החוג לארכיאולוגיה ותרביות המזרח הקדום,1,26.07
"בית הספר לכלכלה ע""ש איתן ברגלס,",27,26.04
החוג ל,4,25.52
החוג לחינוך רפואי,3,25.2
"בית הספר להיסטוריה ע""ש זלמן ארן",1,24.2
החוג ללימודי התרבות העברית.,3,23.95
Department of Communication Disorders,12,23.94
"המחלקה לפיסיקה ואסטרונומיה,",3,22.4
Porter School of the Environment and Earth Sciences,3,21.62
החוג לגיאוגרפיה,3,21.17
המחלקה להנדסה ביו-רפואית,2,21.15
"האקדמיה הישראלית למוסיקה על שם רובין,",1,20.56
"החוג למדעי המחשב,",7,19.78
החוג לביוכימיה,2,19.59
"החוג למיקרוביולוגיה ואימונולוגיה קלינית,",5,19.17
"החוג לביולוגיה מולקולרית ואקולוגיה של צמחים,",7,18.95
"החוג לפיזיולוגיה ולפרמקולוגיה,",2,18.95
"School of Electrical Engineering,",4,18.91
"המרכז ללימודים אורבניים ואזוריים,",8,18.88
"School of physics &amp; astronomy,",2,18.63
"החוג למתמטיקה שימושית,",12,18.02
החוג לביוכימיה וביולוגיה מולקולרית,13,16.99
"School of Chemistry,",5,16.46
החוג לריפוי בעסוק,1,16.0
"החוג לשפה וספרות ערבית,",2,15.57
"בית הספר לאדריכלות ע""ש דוד עזריאלי",2,14.34
"School of Mechanical Engineering,",4,14.2
"Department of Physiology and Pharmacology,",1,14.1
"Department of Biomedical Engineering,",1,14.09
החוג למיקרוביולוגיה הומנית,7,14.06
החוג לסטטיסטיקה וחקר ביצועים,1,13.4
הפקולטה למדעים מדויקים. בית הספר ללימודי הסביבה,2,13.17
בית הספר למדעי המחשב,4,12.74
"המחלקה לבוטניקה,",1,12.72
"התוכנית ללימודים קוגניטיביים של השפה ושימושיה,",8,12.44
החוג למיקרוביולוגיה מולקולרית ולביוטכנולוגיה,5,12.34
"Shirley and Leslie Porter School of Cultural Studies,",1,11.63
"Department of Archaeology and Ancient Near Eastern Studies,",1,11.01
בית הספר לכימיה,3,10.45
ha-hug lirfua klalit,2,10.2
"החוג ללימודי הערבית והאסלאם,",3,10.12
"החוג לביולוגיה תאית והתפתחותית,",3,9.27
המחלקה להנדסת תעשייה,3,9.14
"School of Mathematical Sciences,",2,9.0
"Department of Zoology,",1,8.93
החוג לגיאוגרפיה וסביבת האדם.,1,8.92
"ההפקולטה לרפואה ע""ש סאקלר.",1,8.85
בית הספר להנדסה מכנית,1,8.85
"Department of Middle Eastern and African History,",1,8.84
"Faculty of Medicine,",12,8.43
ha-Hug lerippuy beissuq,5,8.37
החוג למדיניות ציבורית,4,8.31
"החוג לביוכימיה וביולוגיה מולקולרית,",3,8.17
"החוג למיקרוביולוגיה מולקולרית ולביוטכנולוגיה,",4,7.68
"החוג ללימודי צרפת,",4,7.63
החוג לביולוגיה של התא והיסטולוגיה,4,7.6
"Department of Physical Therapy,",3,6.99
"התוכנית הבינלאומית ליישוב סכסוכים וגישור,",7,6.48
התכנית הבינתחומית לאמניות,1,6.47
החוג למיקרוביולוגיה,4,6.43
"Department of Molecular Biology and Ecology of Plants,",2,5.66
"Department of Industrial Engineering,",2,5.64
"החוג לחקר התא ואימונולוגיה,",2,5.49
הפקולטה למשפטים),1,5.33
"החוג לשפה וספרות צרפתית,",2,5.17
החוג לגיאוגרפיה וסביבת האדם,1,4.98
"בית הספר למדע המדינה, ממשל ויחסים בינלאומיים,",3,4.97
החוג לאמנות התיאטרון,1,4.97
"החוג לאנטומיה ואנתרופולוגיה,",2,4.95
המגמה למקרא,1,4.75
התוכנית ללימודי נשים ומגדר,2,4.74
בית הספר ללימודי סביבה על שם פורטר,1,4.56
המחלקה לפיסיקה,1,4.51
Buchman faculty of law,1,4.5
"החוג לנוירוביולוגיה,",2,4.28
הפקולטה לנהול,1,4.26
"בית הספר ללימודי הסביבה ע""ש פורטר(תאר שני)",1,4.2
ha-Hug lemiqrobiyologya humanit,2,4.04
ha-Faḳulṭah li-refuʼah.,1,3.98
"החוג למתמטיקה עיונית,",4,3.96
החוג לתולדות האמנות,1,3.94
"בית הספר למדעי היהדות ע""ש חיים רוזנברג",1,3.93
החוג לאנטומיה ואנתרופולוגיה,1,3.83
הפקולטה להנדסה,2,3.82
בית הספר למדעי הסביבה ע''ש פורטר,1,3.78
"Department of Geophysics, Atmospheric, and Planetary Sciences,",1,3.71
ha-Hug lemiqrobiyologya,2,3.63
החוג ללשון עברית ולבלשנות שמית,1,3.47
החוג לארצות מתפתחות,1,3.26
החוג לסטטיסטיקה,2,3.25
החוג לגנטיקה מולקולארית של האדם וביוכימיה,1,3.01
"בית הספר למדעי כדור הארץ,",1,2.99
החוג ללקולנוע וטלויזיה,1,2.91
"Department of Human Molecular Genetics and Biochemistry,",1,2.88
"Department of Cell and Developmental Biology,",1,2.76
"החוג למוסיקולוגיה,",1,2.76
הפקולטה למדעי הרוח,1,2.74
"Department of Political Science,",1,2.68
החוג לספרות,1,2.66
"Porter School of the Environment and Earth Sciences,",1,2.59
Department of Molecular Microbiology and Biotechnology,2,2.54
"School of Education,",1,2.51
"בית הספר לממשל ולמדיניות ע""ש הרולד הרטוך",1,2.41
בית הספר למדעי היהדות וארכיאולוגיה על שם חיים רוזנברג,1,2.38
"בית הסָפר לעבודה סוציאלית ע""ש בוב שאפל.",1,2.37
"בית הספר לממשל ולמדיניות ע""ש הרולד הרטוך,",1,2.34
החוג לביולוגיה תאית והתפתחותית,1,2.33
"Department of Cell Research and Immunology,",1,2.29
"בית הספר למחקר ביו-רפואי וסרטן ע""ש שמוניס",2,2.18
School of Public Health,1,2.09
החוג לביוכימיה קלינית,1,2.07
החוג לרפוי בעסוק (תואר שני),1,2.03
בית הספר לרפואת שנים על שם מוריס וגבריאלה גולדשלגר,2,1.97
"התוכנית ללימודי ספרות יידיש,",1,1.9
"בית הספר למדעי היהדות וארכיאולוגיה ע""ש חיים רוזנברג",1,1.86
ha-hug lebiyologya shel ha-ta wehistologya,1,1.84
בית הספר להנדסת חשמל.,1,1.82
"החוג לאנגלית,",2,1.82
"Department of Physics and Astronomy,",1,1.79
"Maurice and Gabriela Goldschleger School of Dental Medicine,",1,1.77
"הפקולטה לניהול,",2,1.74
החוג לימודי התרבות העברית,1,1.73
בית הספר להיסטוריה,1,1.47
Porter School of the Environment and Earth Sciences.,1,1.45
התוכנית למדעי הדתות,2,1.39
"בית הספר לקולנוע וטלוויזיה ע""ש סטיב טיש",1,1.37
"ביה""ס ללמודי הסביבה ע""ש פורטר",1,1.3
Department of Human Molecular Genetics and Biochemistry,1,1.3
"Department of Neurobiology,",1,1.25
החוג לגינקולוגיה ומיילדות,2,1.17
בית הספר לבריאות הציבור.,1,1.07
"Linguistics Department,",1,0.8
Faculty of Medicine,1,0.71
התוכנית ללימודים קוגניטיביים של השפה ושימושיה,1,0.46
"Eitan Berglas School of Economics,",1,0.32
Total,18178,145635.41
