Faculty,Document_Count,% Documents,Total_Size_MB,% Size MB,,,,,,,
החוג לכלכלה,7,0%,97.31,0%,,,,,,,
החוג לגנטיקה,1,0%,94.93,0%,,,,,,,
החוג להפרעות בתקשורת,44,0%,84.9,0%,,,,,,,
"המחלקה לכימיה,",9,0%,83.47,0%,,,,,,,
"התוכנית להנדסת סביבה,",8,0%,79.29,0%,,,,,,,
"בית הספר למדעי הפסיכולוגיה,",5,0%,74.26,0%,,,,,,,
"בית הספר למדע המדינה, ממשל ויחסים בינלאומיים",31,0%,72.13,0%,,,,,,,
בית הספר להנדסת חשמל,6,0%,65.49,0%,,,,,,,
בית הספר לפילוסופיה.,2,0%,61.94,0%,,,,,,,
החוג למדעי הצמח,5,0%,59.07,0%,,,,,,,
"התוכנית למדעי הדתות,",12,0%,56.34,0%,,,,,,,
החוג לרפואה כללית,12,0%,54.59,0%,,,,,,,
החוג לקולנוע וטלויזיה,10,0%,51.38,0%,,,,,,,
המחלקה למדע והנדסה של חומרים,3,0%,48.04,0%,,,,,,,
"החוג לסטטיסטיקה,",8,0%,47.97,0%,,,,,,,
הפקולטה להנדסה.,9,0%,45.41,0%,,,,,,,
בית הספר לפילוסופיה,1,0%,45.38,0%,,,,,,,
החוג לפיזיולוגיה ולפרמקולוגיה,19,0%,45.1,0%,,,,,,,
"התוכנית ללימודי נשים ומגדר,",27,0%,43.96,0%,,,,,,,
"החוג לארצות מתפתחות,",13,0%,39.15,0%,,,,,,,
ha-hug lepsikhi'atriyah,2,0%,37.82,0%,,,,,,,
"החוג למתמטיקה,",16,0%,37.69,0%,,,,,,,
"החוג לבלשנות,",18,0%,37.61,0%,,,,,,,
החוג לגנטיקה מולקולרית של האדם וביוכימיה,12,0%,37.07,0%,,,,,,,
"בית הספר לעבודה סוציאלית ע""ש בוב שאפל",29,0%,35.24,0%,,,,,,,
"המכון להיסטוריה ופילוסופיה של המדעים והרעיונות ע""ש כהן",1,0%,35.02,0%,,,,,,,
החוג למיקרוביולוגיה ואימונולוגיה קלינית,9,0%,34.6,0%,,,,,,,
"בית הספר למדעי המחשב,",6,0%,34.29,0%,,,,,,,
"החוג לגנטיקה מולקולרית של האדם וביוכימיה,",6,0%,33.61,0%,,,,,,,
"החוג ללימודי מזרח אסיה,",12,0%,32,0%,,,,,,,
החוג לתקשורת,12,0%,31.3,0%,,,,,,,
ha-hug leepidemyologya urfua monaat,4,0%,30.66,0%,,,,,,,
"Department of Nursing,",5,0%,28.94,0%,,,,,,,
החוג לקולנוע וטלוויזיה,11,0%,28.4,0%,,,,,,,
בית הספר למדעי כדור הארץ,8,0%,27.49,0%,,,,,,,
החוג לארכיאולוגיה ותרביות המזרח הקדום,1,0%,26.07,0%,,,,,,,
"בית הספר לכלכלה ע""ש איתן ברגלס,",27,0%,26.04,0%,,,,,,,
החוג ל,4,0%,25.52,0%,,,,,,,
החוג לחינוך רפואי,3,0%,25.2,0%,,,,,,,
"בית הספר להיסטוריה ע""ש זלמן ארן",1,0%,24.2,0%,,,,,,,
החוג ללימודי התרבות העברית.,3,0%,23.95,0%,,,,,,,
Department of Communication Disorders,12,0%,23.94,0%,,,,,,,
"המחלקה לפיסיקה ואסטרונומיה,",3,0%,22.4,0%,,,,,,,
Porter School of the Environment and Earth Sciences,3,0%,21.62,0%,,,,,,,
החוג לגיאוגרפיה,3,0%, 21.17 ,0%,,,,,,,
המחלקה להנדסה ביו-רפואית,2,0%, 21.15 ,0%,,,,,,,
"האקדמיה הישראלית למוסיקה על שם רובין,",1,0%, 20.56 ,0%,,,,,,,
"החוג למדעי המחשב,",7,0%, 19.78 ,0%,,,,,,,
החוג לביוכימיה,2,0%, 19.59 ,0%,,,,,,,
"החוג למיקרוביולוגיה ואימונולוגיה קלינית,",5,0%, 19.17 ,0%,,,,,,,
"החוג לביולוגיה מולקולרית ואקולוגיה של צמחים,",7,0%, 18.95 ,0%,,,,,,,
"החוג לפיזיולוגיה ולפרמקולוגיה,",2,0%, 18.95 ,0%,,,,,,,
"School of Electrical Engineering,",4,0%, 18.91 ,0%,,,,,,,
"המרכז ללימודים אורבניים ואזוריים,",8,0%, 18.88 ,0%,,,,,,,
"School of physics &amp; astronomy,",2,0%, 18.63 ,0%,,,,,,,
"החוג למתמטיקה שימושית,",12,0%, 18.02 ,0%,,,,,,,
החוג לביוכימיה וביולוגיה מולקולרית,13,0%, 16.99 ,0%,,,,,,,
"School of Chemistry,",5,0%, 16.46 ,0%,,,,,,,
החוג לריפוי בעסוק,1,0%, 16.00 ,0%,,,,,,,
"החוג לשפה וספרות ערבית,",2,0%, 15.57 ,0%,,,,,,,
"בית הספר לאדריכלות ע""ש דוד עזריאלי",2,0%, 14.34 ,0%,,,,,,,
"School of Mechanical Engineering,",4,0%, 14.20 ,0%,,,,,,,
"Department of Physiology and Pharmacology,",1,0%, 14.10 ,0%,,,,,,,
"Department of Biomedical Engineering,",1,0%, 14.09 ,0%,,,,,,,
החוג למיקרוביולוגיה הומנית,7,0%, 14.06 ,0%,,,,,,,
החוג לסטטיסטיקה וחקר ביצועים,1,0%, 13.40 ,0%,,,,,,,
הפקולטה למדעים מדויקים. בית הספר ללימודי הסביבה,2,0%, 13.17 ,0%,,,,,,,
בית הספר למדעי המחשב,4,0%, 12.74 ,0%,,,,,,,
"המחלקה לבוטניקה,",1,0%, 12.72 ,0%,,,,,,,
"התוכנית ללימודים קוגניטיביים של השפה ושימושיה,",8,0%, 12.44 ,0%,,,,,,,
החוג למיקרוביולוגיה מולקולרית ולביוטכנולוגיה,5,0%, 12.34 ,0%,,,,,,,
"Shirley and Leslie Porter School of Cultural Studies,",1,0%, 11.63 ,0%,,,,,,,
"Department of Archaeology and Ancient Near Eastern Studies,",1,0%, 11.01 ,0%,,,,,,,
בית הספר לכימיה,3,0%, 10.45 ,0%,,,,,,,
ha-hug lirfua klalit,2,0%, 10.20 ,0%,,,,,,,
"החוג ללימודי הערבית והאסלאם,",3,0%, 10.12 ,0%,,,,,,,
"החוג לביולוגיה תאית והתפתחותית,",3,0%, 9.27 ,0%,,,,,,,
המחלקה להנדסת תעשייה,3,0%, 9.14 ,0%,,,,,,,
"School of Mathematical Sciences,",2,0%, 9.00 ,0%,,,,,,,
"Department of Zoology,",1,0%, 8.93 ,0%,,,,,,,
החוג לגיאוגרפיה וסביבת האדם.,1,0%, 8.92 ,0%,,,,,,,
"ההפקולטה לרפואה ע""ש סאקלר.",1,0%, 8.85 ,0%,,,,,,,
בית הספר להנדסה מכנית,1,0%, 8.85 ,0%,,,,,,,
"Department of Middle Eastern and African History,",1,0%, 8.84 ,0%,,,,,,,
"Faculty of Medicine,",12,0%, 8.43 ,0%,,,,,,,
ha-Hug lerippuy beissuq,5,0%, 8.37 ,0%,,,,,,,
החוג למדיניות ציבורית,4,0%, 8.31 ,0%,,,,,,,
"החוג לביוכימיה וביולוגיה מולקולרית,",3,0%, 8.17 ,0%,,,,,,,
"החוג למיקרוביולוגיה מולקולרית ולביוטכנולוגיה,",4,0%, 7.68 ,0%,,,,,,,
"החוג ללימודי צרפת,",4,0%, 7.63 ,0%,,,,,,,
החוג לביולוגיה של התא והיסטולוגיה,4,0%, 7.60 ,0%,,,,,,,
"Department of Physical Therapy,",3,0%, 6.99 ,0%,,,,,,,
"התוכנית הבינלאומית ליישוב סכסוכים וגישור,",7,0%, 6.48 ,0%,,,,,,,
התכנית הבינתחומית לאמניות,1,0%, 6.47 ,0%,,,,,,,
החוג למיקרוביולוגיה,4,0%, 6.43 ,0%,,,,,,,
"Department of Molecular Biology and Ecology of Plants,",2,0%, 5.66 ,0%,,,,,,,
"Department of Industrial Engineering,",2,0%, 5.64 ,0%,,,,,,,
"החוג לחקר התא ואימונולוגיה,",2,0%, 5.49 ,0%,,,,,,,
הפקולטה למשפטים),1,0%, 5.33 ,0%,,,,,,,
"החוג לשפה וספרות צרפתית,",2,0%, 5.17 ,0%,,,,,,,
החוג לגיאוגרפיה וסביבת האדם,1,0%, 4.98 ,0%,,,,,,,
"בית הספר למדע המדינה, ממשל ויחסים בינלאומיים,",3,0%, 4.97 ,0%,,,,,,,
החוג לאמנות התיאטרון,1,0%, 4.97 ,0%,,,,,,,
"החוג לאנטומיה ואנתרופולוגיה,",2,0%, 4.95 ,0%,,,,,,,
המגמה למקרא,1,0%, 4.75 ,0%,,,,,,,
התוכנית ללימודי נשים ומגדר,2,0%, 4.74 ,0%,,,,,,,
בית הספר ללימודי סביבה על שם פורטר,1,0%, 4.56 ,0%,,,,,,,
המחלקה לפיסיקה,1,0%, 4.51 ,0%,,,,,,,
Buchman faculty of law,1,0%, 4.50 ,0%,,,,,,,
"החוג לנוירוביולוגיה,",2,0%, 4.28 ,0%,,,,,,,
הפקולטה לנהול,1,0%, 4.26 ,0%,,,,,,,
"בית הספר ללימודי הסביבה ע""ש פורטר(תאר שני)",1,0%, 4.20 ,0%,,,,,,,
ha-Hug lemiqrobiyologya humanit,2,0%, 4.04 ,0%,,,,,,,
ha-Faḳulṭah li-refuʼah.,1,0%, 3.98 ,0%,,,,,,,
"החוג למתמטיקה עיונית,",4,0%, 3.96 ,0%,,,,,,,
החוג לתולדות האמנות,1,0%, 3.94 ,0%,,,,,,,
"בית הספר למדעי היהדות ע""ש חיים רוזנברג",1,0%, 3.93 ,0%,,,,,,,
החוג לאנטומיה ואנתרופולוגיה,1,0%, 3.83 ,0%,,,,,,,
הפקולטה להנדסה,2,0%, 3.82 ,0%,,,,,,,
בית הספר למדעי הסביבה ע''ש פורטר,1,0%, 3.78 ,0%,,,,,,,
"Department of Geophysics, Atmospheric, and Planetary Sciences,",1,0%, 3.71 ,0%,,,,,,,
ha-Hug lemiqrobiyologya,2,0%, 3.63 ,0%,,,,,,,
החוג ללשון עברית ולבלשנות שמית,1,0%, 3.47 ,0%,,,,,,,
החוג לארצות מתפתחות,1,0%, 3.26 ,0%,,,,,,,
החוג לסטטיסטיקה,2,0%, 3.25 ,0%,,,,,,,
החוג לגנטיקה מולקולארית של האדם וביוכימיה,1,0%, 3.01 ,0%,,,,,,,
"בית הספר למדעי כדור הארץ,",1,0%, 2.99 ,0%,,,,,,,
החוג ללקולנוע וטלויזיה,1,0%, 2.91 ,0%,,,,,,,
"Department of Human Molecular Genetics and Biochemistry,",1,0%, 2.88 ,0%,,,,,,,
"Department of Cell and Developmental Biology,",1,0%, 2.76 ,0%,,,,,,,
"החוג למוסיקולוגיה,",1,0%, 2.76 ,0%,,,,,,,
הפקולטה למדעי הרוח,1,0%, 2.74 ,0%,,,,,,,
"Department of Political Science,",1,0%, 2.68 ,0%,,,,,,,
החוג לספרות,1,0%, 2.66 ,0%,,,,,,,
"Porter School of the Environment and Earth Sciences,",1,0%, 2.59 ,0%,,,,,,,
Department of Molecular Microbiology and Biotechnology,2,0%, 2.54 ,0%,,,,,,,
"School of Education,",1,0%, 2.51 ,0%,,,,,,,
"בית הספר לממשל ולמדיניות ע""ש הרולד הרטוך",1,0%, 2.41 ,0%,,,,,,,
בית הספר למדעי היהדות וארכיאולוגיה על שם חיים רוזנברג,1,0%, 2.38 ,0%,,,,,,,
"בית הסָפר לעבודה סוציאלית ע""ש בוב שאפל.",1,0%, 2.37 ,0%,,,,,,,
"בית הספר לממשל ולמדיניות ע""ש הרולד הרטוך,",1,0%, 2.34 ,0%,,,,,,,
החוג לביולוגיה תאית והתפתחותית,1,0%, 2.33 ,0%,,,,,,,
"Department of Cell Research and Immunology,",1,0%, 2.29 ,0%,,,,,,,
"בית הספר למחקר ביו-רפואי וסרטן ע""ש שמוניס",2,0%, 2.18 ,0%,,,,,,,
School of Public Health,1,0%, 2.09 ,0%,,,,,,,
החוג לביוכימיה קלינית,1,0%, 2.07 ,0%,,,,,,,
החוג לרפוי בעסוק (תואר שני),1,0%, 2.03 ,0%,,,,,,,
בית הספר לרפואת שנים על שם מוריס וגבריאלה גולדשלגר,2,0%, 1.97 ,0%,,,,,,,
"התוכנית ללימודי ספרות יידיש,",1,0%, 1.90 ,0%,,,,,,,
"בית הספר למדעי היהדות וארכיאולוגיה ע""ש חיים רוזנברג",1,0%, 1.86 ,0%,,,,,,,
ha-hug lebiyologya shel ha-ta wehistologya,1,0%, 1.84 ,0%,,,,,,,
בית הספר להנדסת חשמל.,1,0%, 1.82 ,0%,,,,,,,
"החוג לאנגלית,",2,0%, 1.82 ,0%,,,,,,,
"Department of Physics and Astronomy,",1,0%, 1.79 ,0%,,,,,,,
"Maurice and Gabriela Goldschleger School of Dental Medicine,",1,0%, 1.77 ,0%,,,,,,,
"הפקולטה לניהול,",2,0%, 1.74 ,0%,,,,,,,
החוג לימודי התרבות העברית,1,0%, 1.73 ,0%,,,,,,,
בית הספר להיסטוריה,1,0%, 1.47 ,0%,,,,,,,
Porter School of the Environment and Earth Sciences.,1,0%, 1.45 ,0%,,,,,,,
התוכנית למדעי הדתות,2,0%, 1.39 ,0%,,,,,,,
"בית הספר לקולנוע וטלוויזיה ע""ש סטיב טיש",1,0%, 1.37 ,0%,,,,,,,
"ביה""ס ללמודי הסביבה ע""ש פורטר",1,0%, 1.30 ,0%,,,,,,,
Department of Human Molecular Genetics and Biochemistry,1,0%, 1.30 ,0%,,,,,,,
"Department of Neurobiology,",1,0%, 1.25 ,0%,,,,,,,
החוג לגינקולוגיה ומיילדות,2,0%, 1.17 ,0%,,,,,,,
בית הספר לבריאות הציבור.,1,0%, 1.07 ,0%,,,,,,,
"Linguistics Department,",1,0%, 0.80 ,0%,,,,,,,
Faculty of Medicine,1,0%, 0.71 ,0%,,,,,,,
התוכנית ללימודים קוגניטיביים של השפה ושימושיה,1,0%, 0.46 ,0%,,,,,,,
"Eitan Berglas School of Economics,",1,0%, 0.32 ,0%,,,,,,,
Total,18178,,145635.41,100%,,,,,,,
